timestamp,symbol,venue,real_type,fid_10,fid_11,fid_12,fid_13,fid_27,fid_28,fid_41,fid_51,raw_code
'2025-09-08 15:10:24.698409,005930,KRX,주식호가잔량,,,,7969980,,,70100,70000,005930
'2025-09-08 15:10:24.699408,005930,NXT,주식호가잔량,,,,2132902,,,70000,69900,005930_NX
'2025-09-08 15:10:24.899375,005930,KRX,주식호가잔량,,,,7970026,,,70100,70000,005930
'2025-09-08 15:10:24.900376,005930,NXT,주식호가잔량,,,,2132903,,,70000,69900,005930_NX
'2025-09-08 15:10:25.098864,005930,NXT,주식호가잔량,,,,2132903,,,70000,69900,005930_NX
'2025-09-08 15:10:25.301021,005930,NXT,주식호가잔량,,,,2132903,,,70000,69900,005930_NX
'2025-09-08 15:10:25.502143,005930,KRX,주식호가잔량,,,,7970026,,,70100,70000,005930
'2025-09-08 15:10:25.701200,005930,KRX,주식호가잔량,,,,7970036,,,70100,70000,005930
'2025-09-08 15:10:25.887149,005930,KRX,주식호가잔량,,,,7970037,,,70100,70000,005930
'2025-09-08 15:10:25.887149,005930,NXT,주식호가잔량,,,,2132904,,,70000,69900,005930_NX
'2025-09-08 15:10:31.703423,005930,NXT,주식호가잔량,,,,2132904,,,70000,69900,005930_NX
'2025-09-08 15:10:31.703929,005930,KRX,주식호가잔량,,,,7970081,,,70100,70000,005930
'2025-09-08 15:10:31.704934,005930,NXT,주식호가잔량,,,,2132904,,,70000,69900,005930_NX
'2025-09-08 15:10:31.704934,005930,KRX,주식호가잔량,,,,7970102,,,70100,70000,005930
'2025-09-08 15:10:31.704934,005930,KRX,주식호가잔량,,,,7970102,,,70100,70000,005930
'2025-09-08 15:10:31.705934,005930,NXT,주식호가잔량,,,,2132949,,,70000,69900,005930_NX
'2025-09-08 15:10:31.705934,005930,KRX,주식호가잔량,,,,7970104,,,70100,70000,005930
'2025-09-08 15:10:31.706935,005930,KRX,주식호가잔량,,,,7970147,,,70100,70000,005930
'2025-09-08 15:10:31.707938,005930,KRX,주식호가잔량,,,,7970177,,,70100,70000,005930
'2025-09-08 15:10:31.707938,005930,KRX,주식호가잔량,,,,7970177,,,70100,70000,005930
'2025-09-08 15:10:37.699869,005930,KRX,주식호가잔량,,,,7970177,,,70100,70000,005930
'2025-09-08 15:10:43.693149,005930,NXT,주식호가잔량,,,,2132949,,,70000,69900,005930_NX
'2025-09-08 15:10:43.693149,005930,KRX,주식호가잔량,,,,7970179,,,70100,70000,005930
'2025-09-08 15:10:43.694324,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:43.695331,005930,NXT,주식호가잔량,,,,2132949,,,70000,69900,005930_NX
'2025-09-08 15:10:43.696049,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:43.696049,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:43.697055,005930,NXT,주식호가잔량,,,,2132949,,,70000,69900,005930_NX
'2025-09-08 15:10:43.697055,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:43.697055,005930,NXT,주식호가잔량,,,,2132949,,,70000,69900,005930_NX
'2025-09-08 15:10:43.698055,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:50.033935,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:50.034940,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:50.034940,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:50.035941,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:50.035941,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:50.035941,005930,KRX,주식호가잔량,,,,7970204,,,70100,70000,005930
'2025-09-08 15:10:50.036941,005930,KRX,주식호가잔량,,,,7970245,,,70100,70000,005930
'2025-09-08 15:10:50.036941,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:50.037941,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
