timestamp,symbol,venue,real_type,fid_10,fid_11,fid_12,fid_13,fid_27,fid_28,fid_41,fid_51,raw_code
'2025-09-08 15:10:50.038940,005930,KRX,주식호가잔량,,,,7971253,,,70100,70000,005930
'2025-09-08 15:10:56.034253,005930,KRX,주식호가잔량,,,,7971264,,,70100,70000,005930
'2025-09-08 15:10:56.034253,005930,KRX,주식호가잔량,,,,7971305,,,70100,70000,005930
'2025-09-08 15:10:56.035259,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:56.035259,005930,KRX,주식호가잔량,,,,7971430,,,70100,70000,005930
'2025-09-08 15:10:56.036258,005930,NXT,주식호가잔량,,,,2132950,,,70000,69900,005930_NX
'2025-09-08 15:10:56.036258,005930,KRX,주식호가잔량,,,,7971461,,,70100,70000,005930
'2025-09-08 15:10:56.036258,005930,KRX,주식호가잔량,,,,7971430,,,70100,70000,005930
'2025-09-08 15:10:56.037260,005930,KRX,주식호가잔량,,,,7971461,,,70100,70000,005930
'2025-09-08 15:10:56.037260,005930,NXT,주식호가잔량,,,,2133103,,,70000,69900,005930_NX
'2025-09-08 15:10:56.038258,005930,KRX,주식호가잔량,,,,7971471,,,70100,70000,005930
'2025-09-08 15:11:02.458300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.459299,005930,KRX,주식호가잔량,,,,7971479,,,70100,70000,005930
'2025-09-08 15:11:02.459299,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.459299,005930,KRX,주식호가잔량,,,,7971479,,,70100,70000,005930
'2025-09-08 15:11:02.460300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.460300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.461300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.461300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.461300,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:02.462299,005930,KRX,주식호가잔량,,,,7971621,,,70100,70000,005930
'2025-09-08 15:11:08.521027,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.522027,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.522027,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.522027,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.522027,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.523026,005930,KRX,주식호가잔량,,,,7971621,,,70100,70000,005930
'2025-09-08 15:11:08.523026,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.524459,005930,NXT,주식호가잔량,,,,2133120,,,70000,69900,005930_NX
'2025-09-08 15:11:08.525471,005930,KRX,주식호가잔량,,,,7971625,,,70100,70000,005930
'2025-09-08 15:11:08.526073,005930,KRX,주식호가잔량,,,,7971630,,,70100,70000,005930
'2025-09-08 16:10:53.962224,005930,NXT,주식호가잔량,,,,2396500,,,70100,70000,005930_NX
'2025-09-08 16:10:54.167808,005930,NXT,주식호가잔량,,,,2396500,,,70100,70000,005930_NX
'2025-09-08 16:10:54.770384,005930,NXT,주식호가잔량,,,,2396500,,,70100,70000,005930_NX
'2025-09-08 16:10:54.972118,005930,NXT,주식호가잔량,,,,2396500,,,70100,70000,005930_NX
'2025-09-08 16:10:55.169380,005930,NXT,주식호가잔량,,,,2396500,,,70100,70000,005930_NX
'2025-09-08 16:10:55.972162,005930,NXT,주식호가잔량,,,,2396501,,,70100,70000,005930_NX
'2025-09-08 16:10:56.170106,005930,NXT,주식호가잔량,,,,2396507,,,70100,70000,005930_NX
'2025-09-08 16:10:56.369757,005930,NXT,주식호가잔량,,,,2396507,,,70100,70000,005930_NX
'2025-09-08 16:10:56.571975,005930,NXT,주식호가잔량,,,,2396507,,,70100,70000,005930_NX
'2025-09-08 16:11:03.723008,005930,NXT,주식호가잔량,,,,2396507,,,70100,70000,005930_NX
'2025-09-08 16:11:03.730041,005930,NXT,주식호가잔량,,,,2396542,,,70100,70000,005930_NX
'2025-09-08 16:11:03.731041,005930,NXT,주식호가잔량,,,,2396542,,,70100,70000,005930_NX
'2025-09-08 16:11:03.732043,005930,NXT,주식호가잔량,,,,2396542,,,70100,70000,005930_NX
'2025-09-08 16:11:03.741188,005930,NXT,주식호가잔량,,,,2396543,,,70100,70000,005930_NX
'2025-09-08 16:11:03.741188,005930,NXT,주식호가잔량,,,,2396542,,,70100,70000,005930_NX
'2025-09-08 16:11:03.743188,005930,NXT,주식호가잔량,,,,2396543,,,70100,70000,005930_NX
'2025-09-08 16:11:03.746974,005930,NXT,주식호가잔량,,,,2396543,,,70100,70000,005930_NX
'2025-09-08 16:11:03.747977,005930,NXT,주식호가잔량,,,,2396543,,,70100,70000,005930_NX
'2025-09-08 16:11:03.755052,005930,NXT,주식호가잔량,,,,2396543,,,70100,70000,005930_NX
'2025-09-08 16:11:03.959592,005930,NXT,주식호가잔량,,,,2396548,,,70100,70000,005930_NX
'2025-09-08 16:11:04.764119,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:07.559934,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:07.961645,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:08.164054,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:09.371962,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:10.161007,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:10.362139,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:10.763194,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:11.362088,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:11.562745,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:11.763025,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:12.163379,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:12.360891,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:13.375119,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:13.575097,005930,NXT,주식호가잔량,,,,2396648,,,70100,70000,005930_NX
'2025-09-08 16:11:13.974954,005930,NXT,주식호가잔량,,,,2396658,,,70100,70000,005930_NX
'2025-09-08 16:11:14.372061,005930,NXT,주식호가잔량,,,,2396658,,,70100,70000,005930_NX
'2025-09-08 16:11:14.974428,005930,NXT,주식호가잔량,,,,2396658,,,70100,70000,005930_NX
'2025-09-08 16:11:15.174205,005930,NXT,주식호가잔량,,,,2396658,,,70100,70000,005930_NX
'2025-09-08 16:11:15.372705,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:15.573124,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:15.973074,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:16.975862,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:20.375058,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:20.574281,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:21.964172,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:23.368960,005930,NXT,주식호가잔량,,,,2396660,,,70100,70000,005930_NX
'2025-09-08 16:11:23.568705,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:23.969249,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:25.174271,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:25.762975,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:26.163069,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:26.365519,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:27.166797,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:27.367577,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:33.642995,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:33.642995,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:33.643996,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:33.643996,005930,NXT,주식호가잔량,,,,2396661,,,70100,70000,005930_NX
'2025-09-08 16:11:33.645043,005930,NXT,주식호가잔량,,,,2396662,,,70100,70000,005930_NX
'2025-09-08 16:11:33.648051,005930,NXT,주식호가잔량,,,,2396662,,,70100,70000,005930_NX
'2025-09-08 16:11:33.648051,005930,NXT,주식호가잔량,,,,2396664,,,70100,70000,005930_NX
'2025-09-08 16:11:33.649052,005930,NXT,주식호가잔량,,,,2396664,,,70100,70000,005930_NX
'2025-09-08 16:11:33.649052,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:33.650054,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:33.650054,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:33.660059,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:34.666788,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:35.270733,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:35.670888,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:36.071312,005930,NXT,주식호가잔량,,,,2396665,,,70100,70000,005930_NX
'2025-09-08 16:11:36.473461,005930,NXT,주식호가잔량,,,,2396683,,,70100,70000,005930_NX
'2025-09-08 16:11:37.674404,005930,NXT,주식호가잔량,,,,2396683,,,70100,70000,005930_NX
'2025-09-08 16:11:37.859807,005930,NXT,주식호가잔량,,,,2396683,,,70100,70000,005930_NX
'2025-09-08 16:11:38.671692,005930,NXT,주식호가잔량,,,,2396683,,,70100,70000,005930_NX
'2025-09-08 16:11:40.861991,005930,NXT,주식호가잔량,,,,2396683,,,70100,70000,005930_NX
'2025-09-08 16:11:41.064003,005930,NXT,주식호가잔량,,,,2396701,,,70100,70000,005930_NX
'2025-09-08 16:11:41.861963,005930,NXT,주식호가잔량,,,,2396701,,,70100,70000,005930_NX
'2025-09-08 16:11:42.264049,005930,NXT,주식호가잔량,,,,2396701,,,70100,70000,005930_NX
'2025-09-08 16:11:42.663366,005930,NXT,주식호가잔량,,,,2396701,,,70100,70000,005930_NX
'2025-09-08 16:11:42.861955,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:43.460187,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:43.674330,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:44.862863,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:45.076250,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:46.273584,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:46.474364,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:47.060057,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:47.274844,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:47.460998,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:47.675182,005930,NXT,주식호가잔량,,,,2396921,,,70100,70000,005930_NX
'2025-09-08 16:11:48.265476,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:49.072857,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:49.673132,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:50.474425,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:52.869903,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:53.269915,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:54.075160,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:54.672995,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:55.461079,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:55.675009,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:56.261926,005930,NXT,주식호가잔량,,,,2396923,,,70100,70000,005930_NX
'2025-09-08 16:11:57.464043,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.079779,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.079779,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.080780,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.081779,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.082779,005930,NXT,주식호가잔량,,,,2397048,,,70100,70000,005930_NX
'2025-09-08 16:12:04.082779,005930,NXT,주식호가잔량,,,,2397901,,,70100,70000,005930_NX
'2025-09-08 16:12:04.084284,005930,NXT,주식호가잔량,,,,2397906,,,70100,70000,005930_NX
'2025-09-08 16:12:04.084284,005930,NXT,주식호가잔량,,,,2397906,,,70100,70000,005930_NX
'2025-09-08 16:12:04.084284,005930,NXT,주식호가잔량,,,,2397906,,,70100,70000,005930_NX
'2025-09-08 16:12:04.085291,005930,NXT,주식호가잔량,,,,2397906,,,70100,70000,005930_NX
'2025-09-08 16:12:04.085291,005930,NXT,주식호가잔량,,,,2397926,,,70100,70000,005930_NX
'2025-09-08 16:12:04.085291,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:04.086326,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:04.086326,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:04.475756,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:04.675966,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:05.260864,005930,NXT,주식호가잔량,,,,2397927,,,70100,70000,005930_NX
'2025-09-08 16:12:05.678957,005930,NXT,주식호가잔량,,,,2397932,,,70100,70000,005930_NX
'2025-09-08 16:12:06.665124,005930,NXT,주식호가잔량,,,,2397932,,,70100,70000,005930_NX
'2025-09-08 16:12:07.267804,005930,NXT,주식호가잔량,,,,2397932,,,70100,70000,005930_NX
'2025-09-08 16:12:07.467710,005930,NXT,주식호가잔량,,,,2397932,,,70100,70000,005930_NX
'2025-09-08 16:12:07.669131,005930,NXT,주식호가잔량,,,,2398082,,,70100,70000,005930_NX
'2025-09-08 16:12:14.171908,005930,NXT,주식호가잔량,,,,2398083,,,70100,70000,005930_NX
'2025-09-08 16:12:14.171908,005930,NXT,주식호가잔량,,,,2398082,,,70100,70000,005930_NX
'2025-09-08 16:12:14.172908,005930,NXT,주식호가잔량,,,,2398083,,,70100,70000,005930_NX
'2025-09-08 16:12:14.172908,005930,NXT,주식호가잔량,,,,2398083,,,70100,70000,005930_NX
'2025-09-08 16:12:14.172908,005930,NXT,주식호가잔량,,,,2398083,,,70100,70000,005930_NX
'2025-09-08 16:12:14.179643,005930,NXT,주식호가잔량,,,,2398084,,,70100,70000,005930_NX
'2025-09-08 16:12:14.180641,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:14.180641,005930,NXT,주식호가잔량,,,,2398094,,,70100,70000,005930_NX
'2025-09-08 16:12:14.673213,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:16.474520,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:16.874902,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:17.666892,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:17.868827,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:19.276425,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:20.666374,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:21.067645,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:21.068653,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:21.669421,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:21.961666,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:21.961666,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:22.069423,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:22.269707,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:22.670453,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:23.074085,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:23.863219,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:24.675872,005930,NXT,주식호가잔량,,,,2398097,,,70100,70000,005930_NX
'2025-09-08 16:12:25.476164,005930,NXT,주식호가잔량,,,,2398111,,,70100,70000,005930_NX
'2025-09-08 16:12:25.675874,005930,NXT,주식호가잔량,,,,2398111,,,70100,70000,005930_NX
'2025-09-08 16:12:27.073500,005930,NXT,주식호가잔량,,,,2398111,,,70100,70000,005930_NX
'2025-09-08 16:12:33.943114,005930,NXT,주식호가잔량,,,,2398121,,,70100,70000,005930_NX
'2025-09-08 16:12:33.944112,005930,NXT,주식호가잔량,,,,2398142,,,70100,70000,005930_NX
'2025-09-08 16:12:33.944112,005930,NXT,주식호가잔량,,,,2398142,,,70100,70000,005930_NX
'2025-09-08 16:12:33.945228,005930,NXT,주식호가잔량,,,,2398142,,,70100,70000,005930_NX
'2025-09-08 16:12:33.949249,005930,NXT,주식호가잔량,,,,2398142,,,70100,70000,005930_NX
'2025-09-08 16:12:33.950248,005930,NXT,주식호가잔량,,,,2398142,,,70100,70000,005930_NX
'2025-09-08 16:12:33.951250,005930,NXT,주식호가잔량,,,,2399842,,,70100,70000,005930_NX
'2025-09-08 16:12:33.952249,005930,NXT,주식호가잔량,,,,2399892,,,70100,70000,005930_NX
'2025-09-08 16:12:34.467822,005930,NXT,주식호가잔량,,,,2399892,,,70100,70000,005930_NX
'2025-09-08 16:12:34.868410,005930,NXT,주식호가잔량,,,,2399893,,,70100,70000,005930_NX
'2025-09-08 16:12:36.874990,005930,NXT,주식호가잔량,,,,2399893,,,70100,70000,005930_NX
'2025-09-08 16:12:37.674323,005930,NXT,주식호가잔량,,,,2399893,,,70100,70000,005930_NX
'2025-09-08 16:12:37.875770,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:38.261973,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:39.070789,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:42.275156,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:43.077758,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:43.866298,005930,NXT,주식호가잔량,,,,2399915,,,70100,70000,005930_NX
'2025-09-08 16:12:44.065822,005930,NXT,주식호가잔량,,,,2399916,,,70100,70000,005930_NX
'2025-09-08 16:12:44.280480,005930,NXT,주식호가잔량,,,,2399916,,,70100,70000,005930_NX
'2025-09-08 16:12:44.868091,005930,NXT,주식호가잔량,,,,2399921,,,70100,70000,005930_NX
'2025-09-08 16:12:46.067354,005930,NXT,주식호가잔량,,,,2399921,,,70100,70000,005930_NX
'2025-09-08 16:12:46.469042,005930,NXT,주식호가잔량,,,,2399921,,,70100,70000,005930_NX
'2025-09-08 16:12:46.669988,005930,NXT,주식호가잔량,,,,2399921,,,70100,70000,005930_NX
'2025-09-08 16:12:46.870092,005930,NXT,주식호가잔량,,,,2400021,,,70100,70000,005930_NX
'2025-09-08 16:12:47.673357,005930,NXT,주식호가잔량,,,,2400051,,,70100,70000,005930_NX
'2025-09-08 16:12:48.475799,005930,NXT,주식호가잔량,,,,2400052,,,70100,70000,005930_NX
'2025-09-08 16:12:49.275851,005930,NXT,주식호가잔량,,,,2400059,,,70100,70000,005930_NX
'2025-09-08 16:12:49.475845,005930,NXT,주식호가잔량,,,,2400059,,,70100,70000,005930_NX
'2025-09-08 16:12:51.264290,005930,NXT,주식호가잔량,,,,2400759,,,70100,70000,005930_NX
'2025-09-08 16:12:51.677985,005930,NXT,주식호가잔량,,,,2400759,,,70100,70000,005930_NX
'2025-09-08 16:12:52.065199,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:52.264132,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:52.463278,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:53.273172,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:54.674052,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:54.674052,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
'2025-09-08 16:12:54.674052,005930,NXT,주식호가잔량,,,,2400760,,,70100,70000,005930_NX
